full_name,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
177016,-0.00498116,0.00117994,4.22153,1,177016,177016,177016
592968,0.00386304,0.000915828,4.21808,1,592968,592968,592968
37655,-0.00103103,0.000244706,4.21335,1,37655,37655,37655
2017 GQ5,-1.06699,0.253595,4.20747,Rej.,2017 gq5,2017,2017 GQ5
337084,-0.00374735,0.000891954,4.20128,1,337084,337084,337084
2008 KV2,-0.0024672,0.000587697,4.19808,1,2008 kv2,2008,2008 KV2
4769,-0.000463758,0.000110526,4.19593,1,4769,4769,4769
2016 JE,-0.00735291,0.00176345,4.16961,1,2016 je,2016,2016 JE
483422,-0.00119179,0.000286172,4.16458,1,483422,483422,483422
2014 QH33,-0.00764359,0.00185108,4.12927,1,2014 qh33,2014,2014 QH33
2009 MW,-0.00250649,0.000609644,4.11141,1,2009 mw,2009,2009 MW
203471,-0.00227772,0.000557957,4.08226,1,203471,203471,203471
2002 VU114,-0.00472721,0.001161,4.07169,1,2002 vu114,2002,2002 VU114
325102,-0.00463471,0.00114228,4.05741,1,325102,325102,325102
85774,-0.000214483,5.29556e-05,4.05024,1,85774,85774,85774
2011 EZ40,0.00764079,0.00189171,4.03909,1,2011 ez40,2011,2011 EZ40
413260,-0.00149163,0.000369813,4.03347,1,413260,413260,413260
483560,-0.0104861,0.00260128,4.03112,Rej.,483560,483560,483560
612103,-0.0020335,0.000505776,4.02055,1,612103,612103,612103
497113,-0.00208436,0.000519728,4.01049,1,497113,497113,497113
2016 CA138,-0.0110906,0.00277011,4.00365,1,2016 ca138,2016,2016 CA138
136564,-0.00153938,0.000386894,3.97881,1,136564,136564,136564
322756,-0.00143439,0.000361354,3.9695,1,322756,322756,322756
523590,-0.00351006,0.000886123,3.96114,1,523590,523590,523590
509102,-0.0242982,0.00615359,3.94862,Rej.,509102,509102,509102
2005 XT77,0.00403821,0.00102485,3.94028,1,2005 xt77,2005,2005 XT77
2006 AL4,0.010806,0.00274526,3.93623,1,2006 al4,2006,2006 AL4
2019 ER1,-0.00704345,0.00179575,3.92229,1,2019 er1,2019,2019 ER1
525356,-0.0271064,0.0069204,3.91689,Rej.,525356,525356,525356
376707,0.0139228,0.00355992,3.91097,Rej.,376707,376707,376707
2016 CO246,-0.0274612,0.00705472,3.89261,1,2016 co246,2016,2016 CO246
7350,-0.00100885,0.000259834,3.88266,1,7350,7350,7350
6456,-0.00191472,0.000493887,3.87684,Rej.,6456,6456,6456
1997 WQ23,0.00305533,0.000789954,3.86773,1,1997 wq23,1997,1997 WQ23
164222,-0.00315921,0.000816893,3.86735,1,164222,164222,164222
2002 AY1,0.0037058,0.000958896,3.86465,1,2002 ay1,2002,2002 AY1
2016 AG193,-0.0125557,0.00325228,3.86057,1,2016 ag193,2016,2016 AG193
614134,0.00414658,0.00107564,3.85498,1,614134,614134,614134
513126,-0.0037015,0.000960688,3.85297,1,513126,513126,513126
2010 KP10,-0.00385613,0.00100269,3.84577,1,2010 kp10,2010,2010 KP10
2003 MK4,-0.0030193,0.000787849,3.83233,1,2003 mk4,2003,2003 MK4
612989,0.0303223,0.00792378,3.82674,Rej.,612989,612989,612989
2012 BA35,-0.00680138,0.00177883,3.82352,1,2012 ba35,2012,2012 BA35
455415,0.00304339,0.000796198,3.82241,1,455415,455415,455415
247517,-0.00229327,0.000601164,3.81472,1,247517,247517,247517
510190,-0.00444056,0.00116535,3.8105,Rej.,510190,510190,510190
2014 UV210,0.13719,0.0360185,3.80889,1,2014 uv210,2014,2014 UV210
351545,-0.00279456,0.00073573,3.79835,1,351545,351545,351545
85770,-0.00223337,0.000588733,3.79351,1,85770,85770,85770
312942,-0.00328273,0.00086645,3.78871,Rej.,312942,312942,312942
2010 VW75,-1.07532,0.284589,3.77851,Rej.,2010 vw75,2010,2010 VW75
2011 GP59,-0.415769,0.110163,3.77412,Rej.,2011 gp59,2011,2011 GP59
4888 03,-0.00291761,0.000775093,3.76421,1,4888 03,4888,4888 03
2003 YS17,-0.00436085,0.00115891,3.76289,1,2003 ys17,2003,2003 YS17
613286,-0.00207711,0.00055666,3.73137,1,613286,613286,613286
307070,-0.00141775,0.000383525,3.69663,1,307070,307070,307070
494690,-0.0107048,0.00290234,3.68834,Rej.,494690,494690,494690
2022 UY,-0.012625,0.00342558,3.6855,1,2022 uy,2022,2022 UY
533638,-0.00195209,0.000530172,3.68199,1,533638,533638,533638
2009 SV17,-1.21627,0.330787,3.67691,Rej.,2009 sv17,2009,2009 SV17
2013 UG1,0.0439002,0.0119871,3.66229,Rej.,2013 ug1,2013,2013 UG1
408982,0.00223292,0.000609951,3.66083,1,408982,408982,408982
469219,-0.00630702,0.00172305,3.66038,Rej.,469219,469219,469219
276111,-0.00982511,0.00269257,3.64897,Rej.,276111,276111,276111
152754,-0.00113546,0.000313717,3.61937,1,152754,152754,152754
496901,-0.00622597,0.00172061,3.61846,1,496901,496901,496901
2017 BP32,-0.0047023,0.00129972,3.61793,1,2017 bp32,2017,2017 BP32
337252,-0.00339757,0.000939835,3.61507,1,337252,337252,337252
425755,0.0112486,0.00311329,3.6131,1,425755,425755,425755
2016 UZ40,0.69313,0.192267,3.60504,Rej.,2016 uz40,2016,2016 UZ40
2021 CP6,0.117624,0.0326905,3.5981,Rej.,2021 cp6,2021,2021 CP6
2005 RD34,-0.01981,0.00550918,3.59581,Rej.,2005 rd34,2005,2005 RD34
525484,-0.00463988,0.00129624,3.57948,1,525484,525484,525484
136818,0.00120416,0.000336718,3.57616,1,136818,136818,136818
175729,-0.00118956,0.000333379,3.5682,1,175729,175729,175729
256004,-0.00587357,0.00164874,3.56246,1,256004,256004,256004
401856,-0.0013913,0.000390722,3.56084,1,401856,401856,401856
6037,-0.000886876,0.000249549,3.55391,1,6037,6037,6037
2007 PB8,-0.0100046,0.00281607,3.5527,1,2007 pb8,2007,2007 PB8
2008 BX2,-0.0112264,0.00316223,3.55015,1,2008 bx2,2008,2008 BX2
2003 DF16,0.00859745,0.00243149,3.53588,Rej.,2003 df16,2003,2003 DF16
2008 CE119,-0.00723424,0.00204801,3.53233,1,2008 ce119,2008,2008 CE119
2016 GE1,-0.039454,0.0112112,3.51916,Rej.,2016 ge1,2016,2016 GE1
1864,-0.00165889,0.000472912,3.50781,Rej.,1864,1864,1864
1994 CJ1,-0.00545746,0.00155614,3.50705,1,1994 cj1,1994,1994 CJ1
390725,-0.00247571,0.000706102,3.50617,1,390725,390725,390725
2009 JR2,-0.00517787,0.0014786,3.50188,1,2009 jr2,2009,2009 JR2
2012 XE133,-0.0133979,0.00384799,3.4818,1,2012 xe133,2012,2012 XE133
2019 QG,-0.00995281,0.00287124,3.46638,1,2019 qg,2019,2019 QG
508772,-0.00327198,0.000947924,3.45173,1,508772,508772,508772
2009 HD82,-0.00224858,0.000652194,3.44772,1,2009 hd82,2009,2009 HD82
2016 GL2,-0.00249517,0.000724917,3.442,Rej.,2016 gl2,2016,2016 GL2
468727,-0.00613243,0.0017866,3.43246,1,468727,468727,468727
344074,0.00168172,0.000491077,3.42456,1,344074,344074,344074
163348,0.00188803,0.000551352,3.42436,1,163348,163348,163348
525268,-0.00228342,0.000667473,3.42099,1,525268,525268,525268
86666,-0.00103783,0.000303854,3.41557,1,86666,86666,86666
3671,-0.000836855,0.000245031,3.4153,1,3671,3671,3671
2000 AH205,-0.00712183,0.00208633,3.41358,1,2000 ah205,2000,2000 AH205
508908,-0.00153447,0.000449586,3.41308,1,508908,508908,508908
136897,-0.00134479,0.000395765,3.39795,1,136897,136897,136897
2003 GH21,-0.00371471,0.00109672,3.38712,1,2003 gh21,2003,2003 GH21
329275,-0.00177739,0.000524835,3.38656,1,329275,329275,329275
