99942      -2.88894e-14 2.35076e-16 122.894    -2.90109e-14 1.942e-16 149.386   2  0.516666     0.625416    0.398324
2016 GW221 -1.46083e-13 9.2023e-15   15.8746   -1.40428e-13 1.089e-14  12.8952  1  0.614494     0.519262    0.396618
4769       -8.63246e-15 2.05734e-15   4.19593  -7.702e-15   1.151e-15   6.69157 1  0.452263     0.808391    0.394693
2015 EG    -1.92309e-13 1.78679e-14  10.7628   -2.02844e-13 2.008e-14  10.1018  1  0.589623     0.524668    0.391957
2011 JW10  -2.03239e-13 3.13278e-14   6.4875   -1.84318e-13 3.712e-14   4.96547 1  0.603957     0.509715    0.389531
234341     -3.34105e-14 6.85985e-15   4.87044  -2.95371e-14 7.454e-15   3.96258 1  0.564648     0.519641    0.382364
2015 LA2   -1.08014e-13 2.11863e-14   5.09828  -1.19936e-13 2.307e-14   5.19878 1  0.562719     0.516772    0.380622
2016 TH94  -2.32103e-13 2.0414e-14   11.3698   -2.4427e-13  2.573e-14   9.49358 1  0.596001     0.472863    0.370435
523828     -6.58247e-14 1.45605e-14   4.52077  -7.35373e-14 1.49e-14    4.93539 1  0.529692     0.517623    0.370208
161989     -9.3633e-15  2.76628e-15   3.3848   -1.05941e-14 1.863e-15   5.68656 1  0.444912     0.660629    0.369027
455176     -4.83084e-14 5.38066e-15   8.97815  -5.1612e-14  7.194e-15   7.17432 1  0.613982     0.45922     0.36774
525268     -3.89767e-14 1.13934e-14   3.42099  -4.52407e-14 1.321e-14   3.42473 1  0.549789     0.474184    0.359078
152664      1.62328e-14 5.38141e-15   3.01645   1.90607e-14 5.985e-15   3.18474 1  0.525493     0.472497    0.351353
152563     -2.63408e-14 9.22744e-16  28.5462   -2.58949e-14 9.364e-16  27.6537  1  0.483191     0.476144    0.339149
2007 TF68  -2.09103e-13 1.33042e-14  15.7171   -2.02497e-13 1.429e-14  14.1705  1  0.496565     0.462309    0.338365
313276      2.84372e-14 8.46014e-15   3.36132   3.25155e-14 8.663e-15   3.75337 1  0.482057     0.470769    0.336804
2010 XC15  -1.63298e-13 2.76005e-14   5.91649  -1.47325e-13 3.935e-14   3.74396 1  0.578729     0.405927    0.332328
3361        1.99723e-14 2.17497e-15   9.1828    1.89144e-14 2.405e-15   7.8646  1  0.486409     0.439886    0.326257
592968      5.55441e-14 1.31681e-14   4.21808   4.94736e-14 1.336e-14   3.70311 1  0.461002     0.45438     0.323611
363027      1.51005e-14 1.25142e-15  12.0667    1.56999e-14 1.371e-15  11.4514  1  0.478946     0.437171    0.322887
66400      -2.43837e-14 3.54793e-15   6.87266  -2.26897e-14 3.873e-15   5.85844 1  0.477455     0.437381    0.322514
2020 FW6   -1.29812e-13 2.02635e-14   6.40618  -1.18906e-13 2.711e-14   4.38606 1  0.538209     0.402287    0.322223
163023      4.555e-14   7.63754e-15   5.96396   4.90577e-14 7.766e-15   6.31699 1  0.459277     0.45168     0.322038
413577     -5.41177e-14 1.12929e-14   4.79219  -4.88281e-14 1.198e-14   4.0758  1  0.468405     0.44154     0.321294
468468     -6.50229e-14 5.68663e-15  11.4344   -6.2409e-14  5.874e-15  10.6246  1  0.459665     0.445002    0.319722
2005 MF5    7.67126e-14 1.81532e-14   4.22584   6.82966e-14 1.973e-14   3.46156 1  0.46361      0.426559    0.313905
2100       -3.3913e-15  7.90859e-16   4.28813  -3.74821e-15 8.332e-16   4.49857 1  0.451296     0.428363    0.31069
2005 TG50  -2.29189e-13 4.34293e-14   5.27728  -2.08648e-13 4.993e-14   4.17881 1  0.472981     0.411401    0.310409
455415      7.81613e-14 2.04482e-14   3.82241   6.89212e-14 2.166e-14   3.18196 1  0.451877     0.426596    0.310201
2016 AG193 -3.25335e-13 8.42712e-14   3.86057  -2.87461e-13 9.054e-14   3.17496 1  0.449426     0.418309    0.306199
1865       -1.18491e-14 3.60219e-15   3.28941  -1.0222e-14  3.932e-15   2.59968 1  0.451711     0.413822    0.305133
1996 AE2    5.28365e-14 5.54389e-15   9.53058   5.55674e-14 7.028e-15   7.90658 1  0.4926       0.388577    0.305083
10302       4.49395e-14 5.42467e-15   8.28429   4.25434e-14 5.701e-15   7.46244 1  0.441712     0.420302    0.304486
499998     -2.24698e-13 2.95608e-14   7.60122  -2.1211e-13  3.011e-14   7.04451 1  0.425826     0.418059    0.29832
351545     -6.36923e-14 1.67684e-14   3.79835  -5.65899e-14 1.712e-14   3.30548 1  0.423561     0.414863    0.29638
446924     -3.40909e-14 7.20393e-15   4.73226  -3.10459e-14 7.77e-15    3.99561 1  0.422684     0.39189     0.287378
2005 EY169 -1.27426e-13 2.45088e-14   5.19918  -1.16575e-13 2.884e-14   4.04212 1  0.442751     0.376258    0.286712
511684      9.06952e-14 2.07994e-14   4.36047   8.20961e-14 2.185e-14   3.75726 1  0.413429     0.39355     0.28505
2012 BB124  7.02396e-14 3.88038e-15  18.1012    6.79786e-14 7.04e-15    9.65606 1  0.582664     0.321159    0.281263
242191      2.60169e-14 4.41682e-15   5.89041   2.77791e-14 4.533e-15   6.1282  1  0.398985     0.388759    0.278439
2012 BA35  -1.63509e-13 4.27639e-14   3.82352  -1.45713e-13 4.77e-14    3.05478 1  0.41615      0.373086    0.277793
2016 JE    -1.2197e-13  2.92521e-14   4.16961  -1.34375e-13 3.429e-14   3.91879 1  0.424087     0.36178     0.275236
230111     -2.39671e-14 4.97619e-15   4.81635  -2.60202e-14 5.809e-15   4.47929 1  0.41258      0.35343     0.268412
2010 FX9   -2.38242e-13 4.513e-14     5.27901  -2.55898e-13 4.858e-14   5.26756 1  0.391226     0.363443    0.266274
162783     -9.66217e-14 2.25373e-14   4.28719  -8.7768e-14  2.456e-14   3.57362 1  0.392845     0.360491    0.265608
2001 CQ36  -1.48395e-13 7.92877e-15  18.716    -1.51553e-13 8.879e-15  17.0687  1  0.398335     0.355705    0.265318
612358     -7.8854e-14  1.324e-14     5.95574  -8.42207e-14 1.53e-14    5.50462 1  0.405341     0.350766    0.265242
488453      2.28397e-14 2.42242e-15   9.42848   2.18496e-14 2.844e-15   7.6827  1  0.408725     0.348138    0.265029
612197      1.91899e-13 8.84372e-15  21.6989    1.87535e-13 1.392e-14  13.4723  1  0.493491     0.313527    0.264635
2009 JR2   -1.31955e-13 3.76811e-14   3.50188  -1.46684e-13 4.111e-14   3.56809 1  0.390888     0.358285    0.264121
2008 CE119 -1.81561e-13 5.13997e-14   3.53233  -2.01604e-13 5.608e-14   3.59493 1  0.389939     0.357395    0.263472
613286     -3.7479e-14  1.00443e-14   3.73137  -4.14099e-14 1.104e-14   3.7509  1  0.39136      0.356063    0.263371
326290     -3.16933e-14 3.25473e-15   9.73762  -3.04284e-14 3.578e-15   8.50431 1  0.388625     0.353513    0.261506
29075      -6.21423e-15 1.16477e-15   5.33516  -5.79865e-15 1.135e-15   5.10894 1  0.356794     0.366152    0.255536
398188     -2.87349e-14 8.52272e-15   3.37156  -3.20624e-14 9.996e-15   3.20753 1  0.390433     0.332888    0.253313
4688       -3.51736e-14 6.43253e-15   5.46809  -3.77557e-14 8.015e-15   4.71063 1  0.401415     0.32216     0.251251
613398      7.12019e-14 1.56488e-14   4.54999   6.55601e-14 1.624e-14   4.03695 1  0.360526     0.347401    0.250161
2010 GD35   1.79461e-13 1.1744e-14   15.2811    1.83947e-13 1.378e-14  13.3488  1  0.381963     0.325528    0.247757
203471     -4.2689e-14  1.04572e-14   4.08226  -4.66274e-14 1.23e-14    3.79085 1  0.376623     0.320197    0.243949
2018 KR    -2.15224e-13 1.44123e-14  14.9333   -2.09322e-13 1.948e-14  10.7455  1  0.409543     0.303001    0.243582
37655      -1.281e-14   3.04033e-15   4.21335  -1.17197e-14 3.299e-15   3.5525  1  0.358618     0.330499    0.243032
480883     -6.91898e-14 7.31295e-16  94.6127   -6.94749e-14 9.186e-16  75.6313  1  0.389863     0.310369    0.242819
422686      3.95759e-14 5.81861e-15   6.8016    4.1615e-14  6.129e-15   6.78985 1  0.350443     0.332695    0.241281
612103     -5.12082e-14 1.27366e-14   4.02055  -4.68e-14    1.34e-14    3.49254 1  0.346106     0.328972    0.238446
2101       -3.09243e-14 4.73654e-15   6.52888  -3.26765e-14 5.653e-15   5.78038 1  0.369934     0.30996     0.237586
614134      5.97426e-14 1.54975e-14   3.85498   6.49941e-14 1.591e-14   4.08511 1  0.33886      0.330075    0.236443
2008 LG2   -5.445e-13   9.54783e-14   5.70286  -5.79712e-13 1.192e-13   4.86335 1  0.368793     0.2954      0.230557
310842     -3.76145e-14 4.26201e-15   8.82553  -3.90364e-14 4.491e-15   8.69215 1  0.333633     0.316621    0.229663
348306     -7.02449e-14 9.1189e-15    7.70322  -6.70603e-14 1.055e-14   6.35643 1  0.349225     0.301853    0.228369
2019 XS    -1.62979e-13 7.12752e-15  22.8661   -1.67046e-13 1.639e-14  10.1919  1  0.570562     0.24812     0.227537
338292     -2.20661e-14 6.84348e-15   3.2244   -2.4343e-14  7.319e-15   3.326   1  0.332713     0.311097    0.227236
2002 XQ40  -9.90402e-14 5.96369e-15  16.6072   -9.71167e-14 6.008e-15  16.1646  1  0.322543     0.320164    0.227226
